deputat,partia,perc_for,votes_for,tvo,oblast,year
Яремчук Юрій Якович , самовисування,0.5,493,№13,Вінницька область,2012
Климчук Олександр Миколайович , самовисування,0.49,477,№13,Вінницька область,2012
Герасимова Ірина Дмитрівна ," Політична партія ""Європейська платформа""",0.46,455,№13,Вінницька область,2012
Коваль Тарас Іванович , політична партія Конгрес Українських Націоналістів,0.36,352,№13,Вінницька область,2012
Борисюк Тарас Григорович , самовисування,0.21,207,№13,Вінницька область,2012
Негруб Микола Іванович ," Політична партія ""НОВА ПОЛІТИКА""",0.2,203,№13,Вінницька область,2012
Палій Ліна Миколаївна , самовисування,0.19,191,№13,Вінницька область,2012
Оніщенко Сергій Вікторович , самовисування,0.1,101,№13,Вінницька область,2012
Сусла Василь Станіславович , самовисування,0.07,72,№13,Вінницька область,2012
Жеребнюк Віктор Миколайович , самовисування,33.32,34784,№14,Вінницька область,2012
Мельничук Іван Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",33.24,34701,№14,Вінницька область,2012
Онопенко Василь Васильович , самовисування,16.55,17284,№14,Вінницька область,2012
Закусилова Лідія Олексіївна , Комуністична партія України,6.15,6427,№14,Вінницька область,2012
Зелена Катерина Вітославівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.85,4028,№14,Вінницька область,2012
Гнатюк Юрій Петрович , Партія регіонів,2.51,2627,№14,Вінницька область,2012
Кривак Іван Васильович , самовисування,1.17,1231,№14,Вінницька область,2012
Власюк Віктор Васильович ," політична партія ""Наша Україна""",1.16,1218,№14,Вінницька область,2012
Загороднюк Юрій Вікторович ," Партія Наталії Королевської ""Україна – Вперед!""",0.8,836,№14,Вінницька область,2012
Козловський Юрій Борисович , самовисування,0.74,780,№14,Вінницька область,2012
Погодін Олексій Олександрович , самовисування,0.44,468,№14,Вінницька область,2012
Джига Микола Васильович , Партія регіонів,39.65,37335,№15,Вінницька область,2012
Вовк Василь Васильович , самовисування,32.95,31021,№15,Вінницька область,2012
Продан Сергій Олександрович ," політична партія Всеукраїнське об’єднання ""Свобода""",8.35,7862,№15,Вінницька область,2012
Мельник Світлана Миколаївна , самовисування,6.06,5712,№15,Вінницька область,2012
Коваль Катерина Петрівна , самовисування,4.5,4238,№15,Вінницька область,2012
Галушко Леонід Володимирович , самовисування,3.53,3331,№15,Вінницька область,2012
Ковальов Володимир Аркадійович , Комуністична партія України,2.17,2047,№15,Вінницька область,2012
Рекало Олександр Анатолійович , Радикальна Партія Олега Ляшка,0.99,933,№15,Вінницька область,2012
Третьяков Олександр Миколайович , Народна Партія,0.95,901,№15,Вінницька область,2012
Стус Олександр Іванович , Українська Народна Партія,0.81,764,№15,Вінницька область,2012
Калетник Оксана Миколаївна , самовисування,43.22,37046,№16,Вінницька область,2012
Македон Юрій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",37.36,32030,№16,Вінницька область,2012
